,District Name,CDS Number (District),CAASPP-ELA Standard Exceeded (Level 4) (District),CAASPP-ELA Standard Met (Level 3) (District),CAASPP-ELA Standard Nearly Met (Level 2) (District),CAASPP-ELA Standard Not Met (Level 1) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),American Indian or Alaska Native (CAASPP-ELA Levels 3 and 4) (District),Asian (CAASPP-ELA Levels 3 and 4) (District),Black or African American (CAASPP-ELA Levels 3 and 4) (District),Filipino (CAASPP-ELA Levels 3 and 4) (District),Hispanic or Latino (CAASPP-ELA Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-ELA Levels 3 and 4) (District),Two or More Races (CAASPP-ELA Levels 3 and 4) (District),White (CAASPP-ELA Levels 3 and 4) (District),Males (CAASPP-ELA Levels 3 and 4) (District),Females (CAASPP-ELA Levels 3 and 4) (District)
664,Peninsula Union (Humboldt),12-62984-0000000,0,22.2,16.7,61.1,22.2,,,,,redacted,,,18.8,9.1,redacted
665,Penn Valley Union Elementary (Nevada),29-76877-0000000,14.8,37.1,22.8,25.4,51.8,redacted,redacted,redacted,,43.4,,63.6,52.4,45.4,58.4
666,Perris Elementary (Riverside),33-67199-0000000,10.4,23.1,25.7,40.8,33.5,redacted,76.9,32.1,redacted,33.3,redacted,redacted,34.7,28,39.5
667,Perris Union High (Riverside),33-67207-0000000,13.5,30.5,26.6,29.4,44,redacted,68.5,39.2,76.5,40.4,25,54.4,61.4,36.9,52
668,Petaluma City Elementary (Sonoma),49-70854-0000000,21.1,29,25,24.9,50,redacted,56.7,29.4,redacted,30.5,redacted,54.8,60.8,42.8,58.3
669,Petaluma City Elementary/Joint Union High (Sonoma),49-40246-0000000,,,,,,,,,,,,,,,
670,Petaluma Joint Union High (Sonoma),49-70862-0000000,23.8,40,21.9,14.4,63.8,52.9,81.6,54.3,83.3,45.7,72.7,76.8,71.8,56.6,71.3
671,Piedmont City Unified (Alameda),01-61275-0000000,53.7,32.4,10.1,3.9,86,,87.8,52.9,redacted,75.6,redacted,85.8,87.6,82,90.4
672,Pierce Joint Unified (Colusa),06-61614-0000000,10.5,24.5,29.4,35.6,35.1,,redacted,16.7,redacted,29.2,redacted,redacted,56.6,28.7,43.1
673,Pine Ridge Elementary (Fresno),10-62372-0000000,6.8,42.4,28.8,22,49.2,,,redacted,,redacted,,,50,43.8,55.6
674,Piner-Olivet Union Elementary (Sonoma),49-70870-0000000,11.5,24,30.5,34,35.5,redacted,redacted,redacted,redacted,29.8,redacted,45.5,48.6,36.3,34.5
675,Pioneer Union Elementary (El Dorado),09-61945-0000000,17.4,28,29.5,25.1,45.4,redacted,redacted,redacted,redacted,41.7,,48,46.4,43.2,47.9
676,Pioneer Union Elementary (Butte),04-73379-0000000,2.5,12.5,25,60,15,redacted,,,,redacted,,redacted,17.2,15,15
677,Pioneer Union Elementary (Kings),16-63990-0000000,25.5,32.6,23.5,18.4,58.1,redacted,73.2,41.1,68.4,52.1,53.9,70.6,64.3,50.8,65.8
678,Pittsburg Unified (Contra Costa),07-61788-0000000,9.4,23.9,26.5,40.3,33.3,40,47.5,24.1,62.8,31.9,35.1,39.5,37.9,27.6,39
679,Pixley Union Elementary (Tulare),54-72041-0000000,2.8,16.5,20.7,60,19.3,redacted,redacted,30.8,,18.2,,,44,15.2,23.8
680,Placentia-Yorba Linda Unified (Orange),30-66647-0000000,35.5,32.2,18.2,14.2,67.6,68,87.9,50,86.4,51,73.9,78.4,76.7,63.5,72.1
681,Placer County Office of Education (Placer),31-10314-0000000,13.6,27.8,29,29.6,41.4,redacted,redacted,redacted,,19.2,,redacted,47,37.5,46
682,Placer Hills Union Elementary (Placer),31-66886-0000000,22.3,35.6,22,20.1,57.8,redacted,redacted,redacted,redacted,60.5,redacted,61.1,57.3,53,63.2
683,Placer Union High (Placer),31-66894-0000000,42.8,35.3,14.7,7.2,78.1,50,redacted,redacted,redacted,64.8,redacted,79,81,72,84.6
684,Placerville Union Elementary (El Dorado),09-61952-0000000,21,35.1,24.8,19.1,56.1,redacted,redacted,redacted,redacted,39.4,redacted,55.3,63,49.8,62.7
685,Plainsburg Union Elementary (Merced),24-65813-0000000,7.1,34.1,27.1,31.8,41.2,,,,,38.5,,,43.5,41.9,40.5
686,Planada Elementary (Merced),24-65821-0000000,3.9,21.7,30.7,43.7,25.6,redacted,redacted,redacted,,25.6,,,redacted,20.2,31.1
687,Plaza Elementary (Glenn),11-62638-0000000,13.2,35.7,29.5,21.7,48.8,redacted,redacted,,,43.2,,redacted,49.4,42.7,55.7
688,Pleasant Grove Joint Union (Sutter),51-71431-0000000,17.1,39,28.5,15.5,56.1,redacted,redacted,redacted,,47.1,redacted,redacted,58.8,49.2,62.9
689,Pleasant Ridge Union Elementary (Nevada),29-66373-0000000,19.4,34.9,24.4,21.3,54.3,redacted,redacted,redacted,redacted,40,redacted,53.2,56.5,49.2,60.3
690,Pleasant Valley (Ventura),56-72553-0000000,28.3,34.5,20.6,16.6,62.8,73.3,80.8,48.5,71.2,47.8,66.7,64.6,70.9,58,67.9
691,Pleasant Valley Joint Union Elementary (San Luis Obispo),40-68791-0000000,14.6,30.9,20,34.6,45.5,,,,,30.4,redacted,redacted,62.5,50,43.2
692,Pleasant View Elementary (Tulare),54-72058-0000000,2.1,13.6,28.3,56,15.7,redacted,,,23.8,15.2,,,redacted,13.6,17.8
693,Pleasanton Unified (Alameda),01-75101-0000000,49.7,31.2,12.3,6.9,80.8,redacted,89,63.2,78.7,57.8,73.3,80.8,79.1,76.6,85.5
694,Plumas County Office of Education (Plumas),32-10322-0000000,0,0,25,75,0,redacted,,redacted,,redacted,,redacted,0,0,redacted
695,Plumas Lake Elementary (Yuba),58-72744-0000000,19.4,31.4,26.4,22.8,50.9,33.3,68.6,44.8,78.6,44.1,redacted,54.6,51.3,46.9,55.8
696,Plumas Unified (Plumas),32-66969-0000000,14.4,31.5,26.8,27.3,45.9,33.3,redacted,36.4,redacted,32.9,,47.5,49.3,38.8,52.1
697,Point Arena Joint Union High (Mendocino),23-65599-0000000,6.7,10,43.3,40,16.7,redacted,,,,0,,,redacted,7.1,25
698,Pollock Pines Elementary (El Dorado),09-61960-0000000,12.2,31.5,27.8,28.5,43.7,redacted,redacted,redacted,redacted,36.9,redacted,redacted,45.6,37.3,50.2
699,Pomona Unified (Los Angeles),19-64907-0000000,11.3,26.9,27.2,34.6,38.2,48.3,69.1,32.8,68.7,35.9,27.8,63.9,58,33.5,43.1
700,Pond Union Elementary (Kern),15-63719-0000000,7.9,23.8,28.6,39.7,31.8,redacted,redacted,,,29.1,,,redacted,20.3,41.8
701,Pope Valley Union Elementary (Napa),28-66282-0000000,4.8,16.7,31,47.6,21.4,redacted,,,,16,,redacted,35.7,12.5,33.3
702,Porterville Unified (Tulare),54-75523-0000000,12.5,26.2,26.8,34.6,38.7,33.3,53.5,47.1,68.1,36.4,23.3,51.7,50.6,33.1,44.4
703,Portola Valley Elementary (San Mateo),41-68981-0000000,56.3,27.2,10.1,6.3,83.6,,86.4,redacted,,58.7,redacted,94.1,88.9,81.2,86.5
704,Potter Valley Community Unified (Mendocino),23-73866-0000000,9.2,22.3,23.9,44.6,31.5,redacted,,redacted,,24,,redacted,34.8,16.9,49.2
705,Poway Unified (San Diego),37-68296-0000000,40.4,33.7,15.7,10.2,74.1,55.6,86.8,54.2,76,55.1,55.4,76.6,75,69.4,79.1
706,Princeton Joint Unified (Glenn),11-62646-0000000,11.7,29.1,27.2,32,40.8,,,redacted,,33.3,,,55.6,35.2,46.9
707,Raisin City Elementary (Fresno),10-62380-0000000,1.2,14.4,23.4,61.1,15.6,,redacted,,,15.8,,,redacted,14.1,17.3
708,Ramona City Unified (San Diego),37-68304-0000000,18.1,34.4,23.9,23.7,52.5,39.3,55.6,38.9,redacted,38.3,redacted,50.4,62.4,47.5,57.7
709,Rancho Santa Fe Elementary (San Diego),37-68312-0000000,54.7,32.3,8.7,4.4,87,redacted,92.3,redacted,redacted,71.4,,93.6,87.9,86,88.2
710,Ravendale-Termo Elementary (Lassen),18-64162-0000000,redacted,redacted,redacted,redacted,redacted,,,,,redacted,,,redacted,redacted,redacted
711,Ravenswood City Elementary (San Mateo),41-68999-0000000,3.2,16.4,27.2,53.2,19.6,redacted,redacted,17.7,redacted,20.3,14.6,5.3,redacted,15.2,24.5
712,Raymond-Knowles Union Elementary (Madera),20-65276-0000000,14.8,29.5,32.8,23,44.3,redacted,redacted,,redacted,38.5,,redacted,46.9,35.7,51.5
713,Red Bluff Joint Union High (Tehama),52-71639-0000000,4.7,20.1,29.4,45.9,24.7,45.5,redacted,redacted,redacted,20,,redacted,26.2,18.8,30.5
714,Red Bluff Union Elementary (Tehama),52-71621-0000000,10.9,26.1,28.1,34.9,37,45.5,redacted,21.4,redacted,32.6,redacted,41.3,39.5,33.3,41.3
715,Redding Elementary (Shasta),45-70110-0000000,16.1,31.1,24.7,28.1,47.2,28.8,57.5,20,redacted,38.6,redacted,46.5,50.1,41.3,52.9
716,Redlands Unified (San Bernardino),36-67843-0000000,27.8,31.1,21.2,19.9,58.9,53.7,80.2,42.4,78.2,49.2,54.1,69.1,69.6,53.2,64.7
717,Redondo Beach Unified (Los Angeles),19-75341-0000000,40.5,33.4,15.7,10.4,73.9,47.1,85.9,55.5,78.7,62.2,36.8,78.9,77.8,69.1,79
718,Redwood City Elementary (San Mateo),41-69005-0000000,17.6,29.7,24.1,28.7,47.2,redacted,84.6,40.4,76.6,35.9,33.3,81.2,75.6,42.1,52.8
719,Reed Union Elementary (Marin),21-65425-0000000,46.2,35.7,11.8,6.4,81.9,redacted,82.5,redacted,redacted,71.8,redacted,92,82.6,76.4,87.5
720,Reeds Creek Elementary (Tehama),52-71647-0000000,13.4,22.7,32,32,36.1,redacted,redacted,redacted,,redacted,,,36.4,28.6,43.8
721,Reef-Sunset Unified (Kings),16-73932-0000000,4.7,16.9,22.8,55.7,21.5,redacted,,,,21.6,,redacted,18,19.3,24
722,Rescue Union Elementary (El Dorado),09-61978-0000000,33.4,37.9,18.1,10.5,71.4,redacted,88.4,65.2,78.3,57.5,redacted,79,72.5,65.9,77
723,Rialto Unified (San Bernardino),36-67850-0000000,8.7,21.9,25.6,43.8,30.6,29.4,57.4,26.1,56.9,30.1,29.6,43.6,40.6,25.4,35.9
724,Richfield Elementary (Tehama),52-71654-0000000,11.3,33.1,29.4,26.3,44.4,redacted,redacted,redacted,,37.8,,redacted,51.4,35.7,51.1
725,Richgrove Elementary (Tulare),54-72082-0000000,2.2,12.6,20.7,64.4,14.8,redacted,redacted,,redacted,14.5,,,redacted,11.8,17.9
726,Richland Union Elementary (Kern),15-63578-0000000,7.4,20.2,28.3,44.1,27.6,,17.4,redacted,,27.3,redacted,redacted,36.8,22.1,33.4
727,Richmond Elementary (Lassen),18-64170-0000000,13.9,47,20.5,18.5,60.9,,,,,68.8,redacted,redacted,62.2,52.8,68.4
728,Rim of the World Unified (San Bernardino),36-67868-0000000,12.2,25.8,26.3,35.7,38,redacted,76.9,33.3,redacted,30,redacted,44.6,42.8,33.3,43.1
729,Rincon Valley Union Elementary (Sonoma),49-70896-0000000,25.5,33.7,22.8,18,59.2,52.2,76.5,58.5,60.9,39.9,43.3,60.3,67.3,55.4,63.3
730,Rio Bravo-Greeley Union Elementary (Kern),15-73544-0000000,14,28.4,28.7,28.9,42.4,57.1,46.2,redacted,redacted,33.2,redacted,,48.4,36.3,49.2
731,Rio Dell Elementary (Humboldt),12-63008-0000000,2.8,13.6,30.8,52.8,16.4,27.3,,redacted,redacted,3.9,,25,19.1,8.6,23.9
732,Rio Elementary (Ventura),56-72561-0000000,9.3,22.7,26.9,41.2,32,redacted,54.8,35.5,67.2,28.7,redacted,55.1,56,26.8,37.2
733,Ripon Unified (San Joaquin),39-68650-0000000,23.8,36.9,22.6,16.7,60.7,redacted,82.9,54.6,85,48.5,redacted,76.6,65.9,54.2,67.7
734,River Delta Joint Unified (Sacramento),34-67413-0000000,12.8,26.3,29.4,31.4,39.2,redacted,redacted,21.4,redacted,33.5,redacted,50,45.9,33.8,44.5
735,Riverbank Unified (Stanislaus),50-75556-0000000,9.9,23.8,24.6,41.8,33.7,redacted,redacted,50,redacted,32.8,redacted,redacted,37.5,26.9,40.5
736,Riverdale Joint Unified (Fresno),10-75408-0000000,9.2,29.6,29.2,32,38.8,redacted,redacted,redacted,redacted,36,,redacted,53.5,37.1,40.7
737,Riverside County Office of Education (Riverside),33-10330-0000000,1.5,6.6,19.9,71.9,8.2,redacted,,3.9,redacted,8.9,redacted,redacted,10.3,6,12.9
738,Riverside Unified (Riverside),33-67215-0000000,18.1,29.5,24.6,27.8,47.6,33,76.7,41.2,81,40.2,44.2,63.1,63.3,42.5,53
739,Roberts Ferry Union Elementary (Stanislaus),50-71233-0000000,16.1,35.6,28.7,19.5,51.7,,redacted,redacted,,57.1,,redacted,53.2,34.4,61.8
740,Robla Elementary (Sacramento),34-67421-0000000,7.2,23,23.4,46.4,30.2,13.3,35.6,19.2,56.3,28.1,17.9,38.2,43.6,24.6,36.2
741,Rockford Elementary (Tulare),54-72090-0000000,7.9,25.4,30.4,36.3,33.3,redacted,redacted,,redacted,24.4,,redacted,46.2,29.5,37.3
742,Rocklin Unified (Placer),31-75085-0000000,32.8,36.9,19.3,10.9,69.8,51.4,82.1,61.5,80,60.1,72.4,67.6,70.7,64.9,75
743,Romoland Elementary (Riverside),33-67231-0000000,11.9,26.5,25.4,36.3,38.4,redacted,75.6,33.3,76.6,34.2,53.3,59.3,45.9,32.5,44.5
744,Rosedale Union Elementary (Kern),15-63750-0000000,22,37.1,23.3,17.7,59.1,50,78.8,47.2,77.8,52,redacted,69.2,61.4,54.5,63.6
745,Roseland (Sonoma),49-70904-0000000,7,24.7,31.6,36.7,31.7,16.7,16.7,redacted,redacted,30.8,redacted,50,50,29.6,33.7
746,Rosemead Elementary (Los Angeles),19-64931-0000000,29.8,30.8,21.1,18.3,60.7,redacted,76.1,redacted,75,40.5,,redacted,66.7,56.9,64.4
747,Roseville City Elementary (Placer),31-66910-0000000,27.3,35.9,20.7,16.1,63.2,42.9,79.5,54.2,80.7,47.6,58.6,69.4,66.5,56.1,71
748,Roseville Joint Union High (Placer),31-66928-0000000,38.2,39.1,15.7,7,77.3,redacted,83.2,71.7,94.7,67.7,55.6,81,78.9,72.6,82.5
749,Ross Elementary (Marin),21-65433-0000000,56,31.2,9.4,3.4,87.2,redacted,redacted,,,100,redacted,redacted,86.3,85.3,89.1
750,Ross Valley Elementary (Marin),21-75002-0000000,42.8,37.1,14.2,6,79.9,redacted,83.7,43.8,redacted,51.1,redacted,86.4,83.3,75.3,84.6
751,Round Valley Joint Elementary (Inyo),14-63305-0000000,35.7,23.8,25,15.5,59.5,redacted,,,,56.3,,redacted,59.7,47.5,70.5
752,Round Valley Unified (Mendocino),23-65607-0000000,0.7,13.3,37.1,49,13.9,15.9,,,,5.4,,redacted,redacted,11.7,16.2
753,Rowland Unified (Los Angeles),19-73452-0000000,19.6,30.2,22.7,27.4,49.8,redacted,74.5,41.6,73.5,38.2,62.5,75,62.4,44.3,55.6
754,Sacramento City Unified (Sacramento),34-67439-0000000,14.9,24.5,23.6,37,39.4,27.6,47.6,22.1,57.9,31.3,23.3,47.1,61.4,33.9,45.1
755,Sacramento County Office of Education (Sacramento),34-10348-0000000,0.4,6.6,19.7,73.3,7,redacted,redacted,3.2,redacted,4.6,redacted,7.7,12.5,5.9,10.3
756,Saddleback Valley Unified (Orange),30-73635-0000000,30.3,34.3,19.5,15.9,64.6,66.7,84,48.5,69.3,45.9,54.6,75.2,74.4,60.5,69
757,Saint Helena Unified (Napa),28-66290-0000000,31.5,32.5,20.4,15.6,64,redacted,redacted,,,47.4,,redacted,82.7,59.9,68
758,Salida Union Elementary (Stanislaus),50-71266-0000000,12.3,31,26.5,30.2,43.3,redacted,52.8,44.9,85.7,39.9,45.5,53.9,48.7,38.8,47.7
759,Salinas City Elementary (Monterey),27-66142-0000000,7.8,18.7,23.8,49.8,26.5,redacted,65.6,13.5,39.7,24.1,redacted,47.5,52.5,22.5,30.7
760,Salinas Union High (Monterey),27-66159-0000000,10.2,29,28.7,32.1,39.2,redacted,70.8,35.7,69.1,36.5,63.6,66.7,57,33.6,45.2
761,San Antonio Union Elementary (Monterey),27-66167-0000000,8.1,27,21.6,43.2,35.1,redacted,,redacted,redacted,26.5,,redacted,36,27.7,45.7
762,San Ardo Union Elementary (Monterey),27-66175-0000000,0,11.5,31.2,57.4,11.5,,,,,10.2,,,redacted,9.7,13.3
763,San Benito County Office of Education (San Benito),35-10355-0000000,0,7.7,34.6,57.7,7.7,,,,,8.3,,,redacted,8,redacted
764,San Benito High (San Benito),35-67538-0000000,24.8,37.3,23.4,14.5,62.1,redacted,100,redacted,redacted,56.5,,redacted,74.2,54.8,70.1
765,San Bernardino City Unified (San Bernardino),36-67876-0000000,10.7,25.7,26.6,37.1,36.4,30.7,59.2,26.8,71,36.5,30.4,38.6,48.4,31.2,41.9
766,San Bernardino County Office of Education (San Bernardino),36-10363-0000000,1,4.4,13.9,80.8,5.3,redacted,redacted,1.9,redacted,3.2,redacted,redacted,13.5,5.4,5
767,San Bruno Park Elementary (San Mateo),41-69013-0000000,18.3,31.4,24.8,25.6,49.7,redacted,68.9,43.3,68,36.9,30,67.1,56.4,45.2,54.9
768,San Carlos Elementary (San Mateo),41-69021-0000000,44.3,32.7,14.2,8.8,77,redacted,87.2,34.6,57.7,60.4,redacted,80.3,80.9,72.7,81.4
769,San Diego County Office of Education (San Diego),37-10371-0000000,1.1,9,20,69.9,10.1,redacted,redacted,3.4,redacted,8.9,redacted,4.6,23.5,7.7,14.6
770,San Diego Unified (San Diego),37-68338-0000000,26.5,29.1,20.3,24.1,55.6,54.3,72.2,37.3,70.5,40.3,42.8,69,76.7,50.8,60.7
771,San Dieguito Union High (San Diego),37-68346-0000000,43.9,37.2,12.4,6.5,81.1,72.7,91,65.8,87.2,61.3,90.9,88.8,82.5,76.8,85.7
772,San Francisco County Office of Education (San Francisco),38-10389-0000000,9.3,27.9,16.3,46.5,37.2,,redacted,redacted,redacted,redacted,redacted,redacted,redacted,33.3,40.9
773,San Francisco Unified (San Francisco),38-68478-0000000,26.4,28.2,19.7,25.7,54.6,51.3,70,19.1,58.5,28.3,25.2,65.8,77.4,49.4,60.2
774,San Gabriel Unified (Los Angeles),19-75291-0000000,30.6,30.2,18,21.3,60.7,redacted,73.5,50,78,41.1,redacted,62,66.1,54.3,67.3
775,San Jacinto Unified (Riverside),33-67249-0000000,10,25.8,26.2,38,35.8,33.3,64.2,30.1,70,33.8,41.7,45.7,44.4,30.4,41.3
776,San Joaquin County Office of Education (San Joaquin),39-10397-0000000,0.9,5.6,17.5,75.9,6.6,redacted,7.7,3.7,redacted,6.6,redacted,6.3,10.3,5.8,8.5
777,San Jose Unified (Santa Clara),43-69666-0000000,26,28.2,21.4,24.4,54.2,47.9,85.8,40.9,62.5,35.1,46.9,73.6,72.4,50,58.6
778,San Juan Unified (Sacramento),34-67447-0000000,17,27.3,23.5,32.1,44.4,32,60.6,24.7,53.9,28.5,35.2,42.6,52,38.9,50
779,San Leandro Unified (Alameda),01-61291-0000000,13.4,25.5,24.9,36.2,38.8,18.8,61.4,25.9,54.4,30.1,21.3,51.5,51.8,34,44
780,San Lorenzo Unified (Alameda),01-61309-0000000,9.2,21.8,28,41,31,33.3,56.7,15.2,51.2,23.7,23.9,36.4,41.8,25.7,36.7
781,San Lorenzo Valley Unified (Santa Cruz),44-69807-0000000,26.4,32.2,23.2,18.3,58.6,redacted,redacted,redacted,redacted,38.2,redacted,56.8,61.6,50.5,67.1
782,San Lucas Union Elementary (Monterey),27-66183-0000000,5.1,18,28.2,48.7,23.1,redacted,,,,21.9,redacted,,redacted,17.7,27.3
783,San Luis Coastal Unified (San Luis Obispo),40-68809-0000000,32.9,33.9,18.5,14.7,66.8,46.2,84.3,55.2,63.8,43.9,redacted,69.5,77.9,61.3,72.5
784,San Luis Obispo County Office of Education (San Luis Obispo),40-10405-0000000,0.5,10,27.4,62.1,10.5,redacted,redacted,redacted,redacted,8.3,redacted,redacted,18.2,10.3,11.1
785,San Marcos Unified (San Diego),37-73791-0000000,32.6,33,18.5,15.9,65.5,59.5,89.5,53.5,84,48.7,68.1,redacted,79.3,60.5,70.6
786,San Marino Unified (Los Angeles),19-64964-0000000,64.6,25.5,6.3,3.7,90.1,,92.6,redacted,93.8,80.4,redacted,93.6,85.8,88.4,91.9
787,San Mateo County Office of Education (San Mateo),41-10413-0000000,0,22,14,64,22,,redacted,redacted,redacted,15.2,redacted,redacted,redacted,16.2,38.5
788,San Mateo Union High (San Mateo),41-69047-0000000,47.1,30.1,12.6,10.2,77.2,redacted,92.1,56.5,86.7,56,55,81,87.5,73.3,81.5
789,San Mateo-Foster City (San Mateo),41-69039-0000000,31.3,28.7,18.3,21.8,59.9,redacted,82.1,44.2,64.4,31.4,36.1,78.1,74.1,54.9,65.3
790,San Miguel Joint Union (San Luis Obispo),40-68825-0000000,9.5,35.5,26.6,28.5,45,redacted,,redacted,redacted,38,redacted,redacted,57.5,40,50.6
791,San Pasqual Union Elementary (San Diego),37-68353-0000000,29.3,35.2,21.5,14,64.5,redacted,redacted,redacted,redacted,42.3,,73.9,73.3,59,69.6
792,San Pasqual Valley Unified (Imperial),13-63214-0000000,4.7,17,28.5,49.7,21.7,22.9,,,,19.1,,18.8,redacted,16.8,26.4
793,San Rafael City Elementary (Marin),21-65458-0000000,17.9,24.8,22.2,35.1,42.7,redacted,78.1,47.1,redacted,25.5,redacted,redacted,81.5,40.4,45.2
794,San Rafael City High (Marin),21-65466-0000000,25.1,32.2,21.8,20.9,57.3,redacted,82.9,redacted,redacted,39.8,,redacted,79.1,53.7,61.2
795,San Ramon Valley Unified (Contra Costa),07-61804-0000000,48,33.6,12.3,6,81.7,92.9,90.2,59.8,83.5,69.5,74.3,80,77.5,77.5,86.2
796,San Ysidro Elementary (San Diego),37-68379-0000000,12.8,24.5,25.1,37.6,37.3,redacted,73.9,50.7,82.5,33.9,redacted,64.5,61.5,32.7,42.1
797,Sanger Unified (Fresno),10-62414-0000000,17.7,30.7,25.9,25.7,48.4,58.8,60.1,43.6,90.9,42.7,redacted,59.5,65.3,41.1,56
798,Santa Ana Unified (Orange),30-66670-0000000,7.6,20.2,27.3,44.9,27.8,19.6,65.9,35.7,64.3,26.6,32.3,55.1,52.2,24.2,31.6
799,Santa Barbara County Office of Education (Santa Barbara),42-10421-0000000,4.5,4.5,20.2,70.8,9,redacted,redacted,redacted,,6.3,,redacted,16.7,10.8,0
800,Santa Barbara Unified (Santa Barbara),42-76786-0000000,22.2,30.7,22.4,24.6,52.9,53.1,79.5,42.7,53.9,37.3,redacted,83.6,78.1,48,58
801,Santa Clara County Office of Education (Santa Clara),43-10439-0000000,1.2,6.9,16.1,75.9,8.1,redacted,redacted,redacted,redacted,3.1,redacted,redacted,28.6,6.9,11.4
802,Santa Clara Elementary (Ventura),56-72579-0000000,40,20,23.3,16.7,60,,,,,30.8,,redacted,78.6,58.3,61.1
803,Santa Clara Unified (Santa Clara),43-69674-0000000,29.5,28.7,19.6,22.2,58.2,33.3,79,45.4,62,35.2,39,70.3,70.7,52.8,63.7
804,Santa Cruz City Elementary (Santa Cruz),44-69815-0000000,28.5,24.9,18.1,28.6,53.4,redacted,76.6,15.4,redacted,28.5,redacted,62.5,71.2,47.6,59.1
805,Santa Cruz City Elementary/High (Santa Cruz),44-40261-0000000,,,,,,,,,,,,,,,
806,Santa Cruz City High (Santa Cruz),44-69823-0000000,24.9,34.4,22.7,18.1,59.3,redacted,78,52.2,65,37.3,redacted,76.9,73.7,53.1,66.2
807,Santa Cruz County Office of Education (Santa Cruz),44-10447-0000000,30.6,25.7,18.8,24.9,56.3,redacted,93.8,redacted,,27.5,,73.7,69.4,50.6,62.6
808,Santa Maria Joint Union High (Santa Barbara),42-69310-0000000,14.4,31.6,28.7,25.4,46,redacted,73.7,31.8,73.2,44,redacted,43.8,55.1,40.7,51.6
809,Santa Maria-Bonita (Santa Barbara),42-69120-0000000,6.6,21.3,26.5,45.7,27.8,31.6,48.2,36,63.3,26.5,redacted,51.1,45.7,24,31.8
810,Santa Monica-Malibu Unified (Los Angeles),19-64980-0000000,43.5,30.6,14.9,11.1,74,64.3,88.8,54.8,90.7,56.2,redacted,85.8,83.7,70.1,78.2
811,Santa Paula Unified (Ventura),56-76828-0000000,8.8,24.6,27.5,39.1,33.3,redacted,redacted,redacted,,32.6,redacted,redacted,52.1,27.3,39.9
812,Santa Rita Union Elementary (Monterey),27-66191-0000000,9.2,25.5,27.9,37.4,34.7,redacted,75,33.3,59.5,31.8,redacted,redacted,50.4,30,39.3
813,Santa Rosa Elementary (Sonoma),49-70912-0000000,12.6,20.7,26.1,40.6,33.3,40,59.6,29.2,67.7,20.6,redacted,47.8,57.4,30.4,36
814,"Santa Rosa Elementary-High, City Of (Sonoma)",49-40253-0000000,,,,,,,,,,,,,,,
815,Santa Rosa High (Sonoma),49-70920-0000000,17.6,30.6,23.7,28.2,48.1,27.3,70.2,35.3,71.4,32.2,21.1,60.7,64.3,42.5,53.8
816,Santa Ynez Valley Union High (Santa Barbara),42-69328-0000000,32.8,28,19.2,20.1,60.7,redacted,redacted,redacted,,48.6,,redacted,69.6,52.4,70.5
817,Santee (San Diego),37-68361-0000000,21.4,33.1,24.3,21.2,54.5,38.1,71.9,40.4,73.5,46.4,57.1,59.5,57.4,49.5,59.9
818,Saratoga Union Elementary (Santa Clara),43-69682-0000000,56,30.8,9.5,3.6,86.9,redacted,92,redacted,redacted,74.4,redacted,85.7,79.3,83.8,90.3
819,Saucelito Elementary (Tulare),54-72108-0000000,8.6,22.4,32.8,36.2,31,,,,,18.2,,redacted,47.8,25.9,35.5
820,Saugus Union (Los Angeles),19-64998-0000000,30.8,32,20.1,17.2,62.7,58.3,83.1,55.6,77.9,49.8,80,70.8,66.6,58.1,67.6
821,Sausalito Marin City (Marin),21-65474-0000000,6.4,24.4,24.4,44.9,30.8,,redacted,23.7,redacted,22.7,,redacted,redacted,18,43.6
822,Savanna Elementary (Orange),30-66696-0000000,20,25.2,24.5,30.3,45.2,redacted,75,30.2,60.3,36.2,redacted,54.4,47.4,40.1,50.2
823,SBC - High Tech High (San Diego),37-76471-0000000,,,,,,,,,,,,,,,
824,SBE - Academia Avance Charter (Los Angeles),19-76968-0000000,7.1,20.9,30.8,41.2,28,,,,,26.9,,,,23.4,33
825,SBE - Anahuacalmecac International University Preparatory of North America (Los Angeles),19-76885-0000000,5.8,19.7,22.6,51.9,25.5,,,redacted,,26.5,,redacted,redacted,26.2,24.8
826,SBE - Audeo Charter II (San Diego),37-77032-0000000,19.6,41.2,23.7,15.5,60.8,,redacted,redacted,redacted,46.8,redacted,redacted,71.1,58.3,63.3
827,SBE - Barack Obama Charter (Los Angeles),19-76547-0000000,9,21.8,20.5,48.7,30.8,redacted,,35.9,redacted,25,,redacted,redacted,28.1,33.8
828,SBE - Baypoint Preparatory Academy (Riverside),33-76943-0000000,14,29.5,23.8,32.6,43.5,,redacted,27.3,redacted,32.3,redacted,redacted,57.9,41.7,45.4
829,SBE - Lifeline Education Charter (Los Angeles),19-76497-0000000,6.1,24.9,25.2,43.8,31,,,20,,32.4,,redacted,,30.3,31.7
830,SBE - Magnolia Science Academy Santa Ana (Orange),30-76893-0000000,14.6,32.6,16,36.9,47.1,redacted,redacted,redacted,,43.3,redacted,redacted,74.3,44.7,49.4
831,SBE - New West Charter (Los Angeles),19-75663-0000000,38.4,36.7,15.1,9.9,75.1,redacted,87.2,71.4,redacted,54.7,redacted,78.3,85.2,69.9,81
