,District Name,CDS Number (District),American Indian or Alaska Native (CAASPP-Math Levels 3 and 4) (District),Asian (CAASPP-Math Levels 3 and 4) (District),Black or African American (CAASPP-Math Levels 3 and 4) (District),Filipino (CAASPP-Math Levels 3 and 4) (District),Hispanic or Latino (CAASPP-Math Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-Math Levels 3 and 4) (District),Two or More Races (CAASPP-Math Levels 3 and 4) (District),White (CAASPP-Math Levels 3 and 4) (District),Males (CAASPP-Math Levels 3 and 4) (District),Females (CAASPP-Math Levels 3 and 4) (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-Math Standard Exceeded (Level 4) (District),CAASPP-Math Standard Met (Level 3) (District),CAASPP-Math Standard Nearly Met (Level 2) (District),CAASPP-Math Standard Not Met (Level 1) (District)
310,Glenn County Office of Education (Glenn),11-10116-0000000,redacted,,,,4.8,,redacted,16.7,4.6,14.8,10.2,0,10.2,24.5,65.3
311,Gold Oak Union Elementary (El Dorado),09-61879-0000000,redacted,redacted,redacted,,25,redacted,redacted,41.4,38.8,39.8,39.3,12.8,26.5,35.8,24.9
312,Gold Trail Union Elementary (El Dorado),09-61887-0000000,redacted,redacted,redacted,redacted,18.8,redacted,52.9,46.6,44.6,41.3,43,16.8,26.2,26.6,30.4
313,Golden Feather Union Elementary (Butte),04-61457-0000000,redacted,,,,redacted,,redacted,13.3,16.2,21.4,18.5,4.6,13.9,21.5,60
314,Golden Plains Unified (Fresno),10-75234-0000000,redacted,redacted,redacted,,15.5,,,8.3,14.9,15.6,15.2,4.2,11.1,24.9,59.9
315,Golden Valley Unified (Madera),20-75580-0000000,50,52.2,41.7,redacted,37.7,redacted,43.8,50.9,46.1,44.1,45.2,18.7,26.5,29.6,25.3
316,Goleta Union Elementary (Santa Barbara),42-69195-0000000,redacted,81.2,37.5,68.4,39.1,,74.5,79.3,58.7,57.2,58,33.7,24.3,22.7,19.4
317,Gonzales Unified (Monterey),27-75473-0000000,redacted,,redacted,redacted,15.4,redacted,redacted,11.5,15.1,16.2,15.7,2.9,12.8,30.7,53.6
318,Gorman Joint (Los Angeles),19-64584-0000000,,,redacted,,39.3,redacted,redacted,33.3,38.7,31.3,34.9,12.7,22.2,33.3,31.8
319,Grant Elementary (Shasta),45-70003-0000000,33.3,redacted,redacted,redacted,55.6,,69.6,71.4,71.1,65.4,68.2,33.6,34.6,22.8,9
320,Grass Valley Elementary (Nevada),29-66332-0000000,30,40,redacted,redacted,26.1,,60,42.6,42.1,37.4,39.7,16,23.7,30.2,30.1
321,Gratton Elementary (Stanislaus),50-71084-0000000,redacted,redacted,redacted,redacted,33.3,,redacted,60.6,59.5,46.8,52.8,22.5,30.3,32.6,14.6
322,Gravenstein Union Elementary (Sonoma),49-70714-0000000,,94.1,redacted,redacted,47,,67.5,65.5,60.8,66,63.4,37.2,26.2,21.7,14.8
